id,value
id_0,5.310076422043856
id_1,18.337940405249054
id_2,22.436082554352524
id_3,7.1571662723448455
id_4,26.449346382374777
id_5,22.051302157883796
id_6,23.1539298992533
id_7,29.51193893489441
id_8,15.78682420772221
id_9,59.69585147546218
id_10,9.898819128301039
id_11,7.925469845400963
id_12,63.197308416258025
id_13,53.54716218649569
id_14,22.513678544277937
id_15,12.590217340884886
id_16,32.38482208690805
id_17,67.43795599723065
id_18,1.0575529269122015
id_19,16.30531875037483
id_20,42.16305432929856
id_21,72.79944209417468
id_22,9.381371861447478
id_23,18.130528410049322
id_24,15.648658212442896
id_25,38.63181929168274
id_26,15.787790724961102
id_27,71.15885263612981
id_28,6.8428665680750935
id_29,55.277781277031046
id_30,22.892317092995235
id_31,7.7630010403103125
id_32,2.0576912540930046
id_33,17.102451263816853
id_34,27.488630118754713
id_35,36.9908625251843
id_36,43.834627369262584
id_37,31.061917348602655
id_38,42.97348103198155
id_39,34.303542216205756
id_40,6.952487918406789
id_41,39.62904091432442
id_42,28.576753414953554
id_43,50.3346814687596
id_44,17.495238066416487
id_45,33.57195372713532
id_46,24.998807679879857
id_47,9.461323084570926
id_48,27.61523452040818
id_49,34.063444901607326
id_50,17.512295520029006
id_51,8.283898138173972
id_52,17.352974227766488
id_53,52.87401112874545
id_54,15.458228766463133
id_55,35.8545120611159
id_56,32.78720794971457
id_57,20.06851031094331
id_58,57.2767322340998
id_59,22.65571099949553
id_60,13.198875490340557
id_61,41.71524253641923
id_62,11.341073210469611
id_63,48.76218577395655
id_64,13.37929453458735
id_65,15.161450754419622
id_66,13.19026035424627
id_67,0.0
id_68,43.619262003567826
id_69,27.449832495890718
id_70,21.557498937825528
id_71,43.351806919513535
id_72,61.424859157225086
id_73,5.704626405227817
id_74,15.973895515790035
id_75,3.394171230457374
id_76,39.2619970274679
id_77,12.554934677668442
id_78,20.24675296602587
id_79,21.238124337084106
id_80,24.150987198332434
id_81,33.844332788687055
id_82,20.731061624441228
id_83,94.12883917897554
id_84,37.29404221467301
id_85,27.69657476803891
id_86,21.70689582793051
id_87,35.384918807186516
id_88,22.75778708430837
id_89,19.991521520605712
id_90,29.230504366659304
id_91,43.035054316383594
id_92,4.245646391163623
id_93,38.62488905576953
id_94,46.26805269377053
id_95,16.06274278639486
id_96,31.926493773680164
id_97,12.64247847735382
id_98,22.878767828212563
id_99,3.0879501726272487
